2023-03-27 13:06:56;10.77.20.248;sshd;"""Server listening on 0.0.0.0 port 22."""
2023-03-27 13:06:56;10.77.20.248;sshd;"""Server listening on :: port 22."""
2023-03-27 13:06:56;10.77.20.248;systemd-logind;"""Watching system buttons on /dev/input/event0 (Power Button)"""
2023-03-27 13:06:56;10.77.20.248;systemd-logind;"""Watching system buttons on /dev/input/event1 (Sleep Button)"""
2023-03-27 13:06:56;10.77.20.248;systemd-logind;"""New seat seat0."""
2023-03-27 13:08:09;10.77.20.248;sshd;"""Accepted publickey for ubuntu from 85.245.107.41 port 54259 ssh2: RSA SHA256:Kl8kPGZrTiz7g4FO1hyqHdsSBBb5Fge6NWOobN03XJg"""
2023-03-27 13:08:09;10.77.20.248;sshd;"""pam_unix(sshd:session): session opened for user ubuntu by (uid=0)"""
2023-03-27 13:08:09;10.77.20.248;systemd ;"""pam_unix(systemd-user:session): session opened for user ubuntu by (uid=0)"""
2023-03-27 13:08:09;10.77.20.248;systemd-logind;"""New session 1 of user ubuntu."""
2023-03-27 13:09:37;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/curl -L -O https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-5.2.2-amd64.deb"""
2023-03-27 13:09:37;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:09:38;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:08;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-key add -"""
2023-03-27 13:10:08;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:09;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:14;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get install apt-transport-https"""
2023-03-27 13:10:14;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:14;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:18;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/tee -a /etc/apt/sources.list.d/elastic-5.x.list"""
2023-03-27 13:10:18;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:18;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:24;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get update"""
2023-03-27 13:10:24;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:28;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:28;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get install filebeat"""
2023-03-27 13:10:28;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:33;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:10:53;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/sbin/update-rc.d filebeat defaults 95 10"""
2023-03-27 13:10:53;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:10:53;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:11:31;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get update"""
2023-03-27 13:11:31;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:11:33;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:11:34;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get update"""
2023-03-27 13:11:34;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:11:35;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:11:35;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/apt-get install packetbeat"""
2023-03-27 13:11:35;10.77.20.248;sudo ;"""pam_unix(sudo:session): session opened for user root by ubuntu(uid=0)"""
2023-03-27 13:11:39;10.77.20.248;sudo ;"""pam_unix(sudo:session): session closed for user root"""
2023-03-27 13:17:01;10.77.20.248;CRON;"""pam_unix(cron:session): session opened for user root by (uid=0)"""
2023-03-27 13:17:01;10.77.20.248;CRON;"""pam_unix(cron:session): session closed for user root"""
2023-03-27 13:23:11;10.77.20.248;sudo ;"""  ubuntu : TTY=pts/0 ; PWD=/usr/share/filebeat/bin ; USER=root ; COMMAND=/usr/sbin/update-rc.d packetbeat defaults 95 10"""
